name,playerId,teamId,teamName,age,height,weight,positionText,season
Niklas Beste,353193,50,Freiburg,27,175,66,Midfielder,2026_27
Felix Nmecha,367783,44,Borussia Dortmund,25,190,73,Midfielder,2026_27
Lukas Pinckert,446537,1134,Elversberg,26,185,83,Defender,2026_27
Saïd El Mala,517371,282,FC Koln,20,183,72,Midfielder,2026_27
Bernardo,302588,1211,Hoffenheim,31,186,76,Defender,2026_27
Derry Scherhant,444289,50,Freiburg,23,186,82,Forward,2026_27
Patrick Wimmer,418589,1211,Hoffenheim,25,182,77,Midfielder,2026_27
Manuel Neuer,13754,37,Bayern Munich,40,193,93,Goalkeeper,2026_27
Rodrigo Ribeiro,434076,1730,Augsburg,21,185,72,Forward,2026_27
Emmanuel Latte Lath,323242,796,Union Berlin,27,177,75,Forward,2026_27
Ibrahim Maza,477985,36,Bayer Leverkusen,20,180,79,Midfielder,2026_27
Jan Thielmann,389376,282,FC Koln,24,178,72,Midfielder,2026_27
Ragnar Ache,335756,282,FC Koln,28,183,81,Forward,2026_27
Nikola Katic,363666,39,Schalke 04,29,194,90,Defender,2026_27
Christopher Nkunku,300945,7614,RB Leipzig,28,177,75,Forward,2026_27
Jarell Quansah,430019,36,Bayer Leverkusen,23,190,83,Defender,2026_27
Joane Gadou,513664,44,Borussia Dortmund,19,194,75,Defender,2026_27
Julian Ryerson,320436,44,Borussia Dortmund,28,183,86,Defender,2026_27
Linton Maina,354555,282,FC Koln,27,173,70,Midfielder,2026_27
Marvin Schwäbe,249897,282,FC Koln,31,190,86,Goalkeeper,2026_27
Ezechiel Banzuzi,485929,7614,RB Leipzig,21,191,80,Midfielder,2026_27
Raphael Obermair,336037,810,Paderborn,30,182,77,Midfielder,2026_27
Adam Hlozek,399385,1211,Hoffenheim,24,188,84,Forward,2026_27
Phillip Tietz,298145,219,Mainz 05,29,190,90,Forward,2026_27
Woo-yeong Jeong,366868,796,Union Berlin,26,179,71,Midfielder,2026_27
Ayoube Amaimouni-Echghouyab,605380,45,Eintracht Frankfurt,21,179,70,Forward,2026_27
Cyriaque Irié,547622,50,Freiburg,21,186,87,Forward,2026_27
Daniel Heuer Fernandes,132896,38,Hamburger SV,33,188,81,Goalkeeper,2026_27
Maximilian Mittelstädt,261020,41,VfB Stuttgart,29,180,71,Defender,2026_27
Tom Rothe,437020,796,Union Berlin,21,193,85,Defender,2026_27
Maximilian Eggestein,254557,50,Freiburg,29,183,83,Midfielder,2026_27
Kim Min-Jae,370912,37,Bayern Munich,29,190,81,Defender,2026_27
Amos Pieper,368176,42,Werder Bremen,28,192,86,Defender,2026_27
Lasse Günther,425057,1134,Elversberg,23,181,83,Defender,2026_27
Maximilian Rohr,419916,1134,Elversberg,31,193,85,Defender,2026_27
Tom Krauß,367182,282,FC Koln,25,182,72,Midfielder,2026_27
Lukasz Poreba,424465,1134,Elversberg,26,179,76,Midfielder,2026_27
Robin Zentner,245634,219,Mainz 05,31,194,96,Goalkeeper,2026_27
Soufiane El-Faouzi,414038,39,Schalke 04,24,177,74,Midfielder,2026_27
Victor Boniface,384000,36,Bayer Leverkusen,25,190,91,Forward,2026_27
Jahmai Simpson-Pusey,534072,282,FC Koln,20,187,79,Defender,2026_27
Tiago Tomás,395850,41,VfB Stuttgart,24,180,69,Forward,2026_27
Lee Jae-Sung,142959,219,Mainz 05,34,180,70,Midfielder,2026_27
Rani Khedira,110266,796,Union Berlin,32,188,84,Midfielder,2026_27
Jonathan Burkardt,363037,45,Eintracht Frankfurt,26,181,76,Forward,2026_27
Jordy Makengo,496922,50,Freiburg,25,191,81,Defender,2026_27
Gideon Mensah,402749,282,FC Koln,28,178,70,Defender,2026_27
Mattes Hansen,487066,810,Paderborn,22,183,77,Midfielder,2026_27
Robin Hranác,428031,1211,Hoffenheim,26,190,82,Defender,2026_27
Josha Vagnoman,354241,41,VfB Stuttgart,25,190,90,Defender,2026_27
Nathaniel Brown,445354,37,Bayern Munich,23,176,67,Defender,2026_27
Malik Tillman,397465,36,Bayer Leverkusen,24,187,71,Midfielder,2026_27
Marvin Pieringer,408909,810,Paderborn,26,191,81,Forward,2026_27
Mert Kömür,474412,1730,Augsburg,21,183,77,Midfielder,2026_27
Jonas Hofmann,115163,36,Bayer Leverkusen,34,176,73,Midfielder,2026_27
Gabriel Vidovic,424368,810,Paderborn,22,180,75,Forward,2026_27
Janik Haberer,110272,796,Union Berlin,32,186,78,Midfielder,2026_27
Phillipp Mwene,124021,219,Mainz 05,32,170,66,Defender,2026_27
Albert Grønbæk,424809,38,Hamburger SV,25,176,65,Midfielder,2026_27
Aleix García,280663,36,Bayer Leverkusen,29,173,68,Midfielder,2026_27
Hugo Bolin,450295,134,Borussia M.Gladbach,23,179,64,Midfielder,2026_27
Kauã Prates,551822,44,Borussia Dortmund,18,183,77,Defender,2026_27
Nicolas Kristof,446532,1134,Elversberg,26,185,87,Goalkeeper,2026_27
Nicolás Capaldo,369480,38,Hamburger SV,27,177,73,Midfielder,2026_27
Leon Avdullahu,510234,1211,Hoffenheim,22,185,79,Midfielder,2026_27
Albert Sambi Lokonga,349102,38,Hamburger SV,26,183,67,Midfielder,2026_27
Ellyes Skhiri,238903,282,FC Koln,31,185,74,Midfielder,2026_27
András Schäfer,369687,796,Union Berlin,27,179,70,Midfielder,2026_27
Farès Chaïbi,444725,45,Eintracht Frankfurt,23,183,69,Midfielder,2026_27
