name,playerId,teamId,teamName,age,height,weight,positionText,season
Odysseas Vlachodimos,110273,67,Sevilla,32,188,78,Goalkeeper,2026_27
Isi Palazón,422959,64,Rayo Vallecano,31,169,71,Midfielder,2026_27
Arnau Ortiz,444251,63,Atletico Madrid,24,175,71,Forward,2026_27
Andrés García,469329,819,Getafe,23,185,77,Defender,2026_27
Beñat Turrientes,407138,68,Real Sociedad,24,181,70,Midfielder,2026_27
Giorgi Kochorashvili,395346,67,Sevilla,27,172,73,Midfielder,2026_27
Riki Rodríguez,448450,59,Deportivo de A Coruna,28,175,70,Midfielder,2026_27
Bright Ede,631884,59,Deportivo de A Coruna,19,193,85,Defender,2026_27
Álvaro Carreras,437583,52,Real Madrid,23,186,78,Defender,2026_27
Carlos Maciá,603190,839,Villarreal,18,194,78,Midfielder,2026_27
Martín Satriano,403803,819,Getafe,25,187,75,Forward,2026_27
Hugo Sotelo,415345,832,Levante,22,180,75,Midfielder,2026_27
Rodrigo Mendoza,463938,63,Atletico Madrid,21,182,72,Midfielder,2026_27
Santi Comesaña,362735,839,Villarreal,29,188,75,Midfielder,2026_27
Víctor Chust,402862,833,Elche,26,182,77,Defender,2026_27
Peio Canales,536242,53,Athletic Club,21,175,68,Midfielder,2026_27
Yan Diomande,557000,52,Real Madrid,19,181,76,Forward,2026_27
Aimar Oroz,395321,131,Osasuna,24,177,72,Midfielder,2026_27
Kike Salas,431509,67,Sevilla,24,188,80,Defender,2026_27
Pelayo Fernández,531953,64,Rayo Vallecano,23,190,83,Defender,2026_27
Stole Dimitrievski,141499,55,Valencia,32,188,84,Goalkeeper,2026_27
Alfonso Herrero,261509,69,Malaga,32,183,83,Goalkeeper,2026_27
Aitor Mañas,514695,60,Deportivo Alaves,23,185,0,Forward,2026_27
Ayoze Pérez,135366,839,Villarreal,33,178,66,Forward,2026_27
David Affengruber,423282,833,Elche,25,185,79,Defender,2026_27
Javi Rodríguez,508331,62,Celta Vigo,23,178,70,Defender,2026_27
Jon Martín,495459,68,Real Sociedad,20,186,83,Defender,2026_27
Karl Etta Eyong,445095,832,Levante,22,181,75,Forward,2026_27
Pedro Felipe,478316,56,Racing Santander,22,190,86,Defender,2026_27
Javi Guerra,431507,55,Valencia,23,187,77,Midfielder,2026_27
Mikel Oyarzabal,298839,68,Real Sociedad,29,181,79,Forward,2026_27
Marc Aguado,448050,833,Elche,26,178,68,Midfielder,2026_27
Jules Koundé,301019,65,Barcelona,27,181,84,Defender,2026_27
Dani Cárdenas,386261,64,Rayo Vallecano,29,186,80,Goalkeeper,2026_27
Dani Raba,334221,55,Valencia,30,184,76,Forward,2026_27
Josan,273453,833,Elche,36,175,68,Midfielder,2026_27
Manu Bueno,469547,67,Sevilla,22,178,73,Midfielder,2026_27
Mikel Jauregizar,511120,53,Athletic Club,22,177,74,Midfielder,2026_27
Saba Sazonov,410988,819,Getafe,24,192,82,Defender,2026_27
David Otorbi,510999,55,Valencia,18,180,82,Forward,2026_27
Javi Rueda,463588,62,Celta Vigo,24,177,74,Defender,2026_27
Robin Le Normand,367008,63,Atletico Madrid,29,187,80,Defender,2026_27
Ander Barrenetxea,367857,68,Real Sociedad,24,175,74,Forward,2026_27
Troy Parrott,384064,54,Real Betis,24,185,78,Forward,2026_27
Arnaut Danjuma,323625,55,Valencia,29,178,74,Forward,2026_27
